,,,,,,,,
,News Articles ,,,,,,Youtube,
1,theguardian,,6,,1,11.8M,KreekCraft,6
2,revealingreality,,2,,2,5.25M subscribers,Good Morning America,1
3,internetmatters,,1,,3,83.5K subscribers,"4 News Now
",1
4,manchestereveningnews,,1,,4,481 subscribers,ArmaniBlox,1
6,myfloridalegal,,1,,5,"

445K subscribers",Schlep,8
7,theglobeandmail,,1,,6,2.8K subscribers,rahmadeit,1
8,ccn,,1,,7,59.4K subscribers,shinzu,2
9,benzinga,,1,,8,4.65M subscribers,Bloomberg Originals,1
10,nbcnews,,3,,9,4.8M subscribers,TODAY,1
11,abc10,,1,,10,1.69M subscribers,More Perfect Union,1
12,waikatotimes,,1,,11,"148 subscribers
",Itisjiwan,2
13,endsexualexploitation,,1,,12,8.57K subscribers,"Axis
",1
14,bbc,,10,,13,1.29M subscribers,"Ruben Sim
",7
15,justice,,1,,14,74.6K subscribers,"DocuBlox
",1
16,walesonline,,1,,15,"106K subscribers
","snunt
",4
17,hindenburgresearch,,1,,16,56.1K,Srupl,6
18,5rightsfoundation,,1,,17,85.6K subscribers,Coael,3
19,bloomberg,,2,,18,3.98M subscribers,JiDionPremium,2
20,stern,,1,,19,10.1K subscribers,JamesAntlers,1
21,thebearcave,,2,,20,606K subscribers,"greenlegocats123
",1
22,theverge,,1,,21,97.6K subscribers,ThatBoredGamer,1
23,dailymail,,6,,22,551K subscribers,People Make Games,4
24,cbsnews,,2,,23,239 subscribers,Samantha De Maria ,1
25,fastcompany,,1,,24,87K subscribers,Jax,4
26,thesun,,2,,25,4.31K subscribers,Alicia Kozak,1
27,abc,,1,,26,21.4K subscribers,"
Loughborough University",1
28,globalnews,,1,,27,516K subscribers,"
MIKEYDOOD
",1
29,fox32chicago,,1,,,,,64
30,kron4,,1,,,,,
31,today,,1,,,,,
32,yahoo,,1,,,,KreekCraft,
33,fox35orlando,,1,,,2.04M subscribers,"Jayingee
",
34,miamiherald,,1,,,2.88K subscribers,"
Kwaesway32",
35,upnorthlive,,2,,,,,
36,kidspot,,4,,,,,
37,devonlive,,1,,,,,
38,myhighplains,,1,,,,,
39,kget,,2,,,,,
,,,69,,,Total number of youtuber,29,
,,,,,,number of subscriber ,7 - M of subscriber (1M - 11 M ) subscriber ,
,NewChannel,,38,,,,3 - less than 500 subscriber ,
,Total Post,,69,,,,17- (5k - 606k) subscriber,
,Year ,,2018-2025,,,Total number of content,64,
,Inappropriate content,,58,,,In-appropriate conent,46,
,SexualAbuse ,,46,,,Sexual abuse,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Quora(76) ,Blog Post(15),News Channel   (69) ,YouTube (64),,,,
Dark Pattern,45,11,10,2,,,,
Gamming Addition,7,4,4,2,,,,
Sexual Abuse,0,0,58,46,,,,
Inappropriate content,0,0,46,40,,,,
