,,Title,Addition,Behaviour Change,Dark Pattern,Saftey Concerns,link
1,,My five-year-old brother is addicted to Roblox. All he does is scream at my whole family that he wants to play it. How do I end his addiction?,yes,yes,,,https://www.quora.com/My-five-year-old-brother-is-addicted-to-Roblox-All-he-does-is-scream-at-my-whole-family-that-he-wants-to-play-it-How-do-I-end-his-addictionn
2,,My 12-year-old screams when I disconnect Roblox. Are we raising the first generation of digital addicts?,yes,yes,,,https://www.quora.com/My-12-year-old-screams-when-I-disconnect-Roblox-Are-we-raising-the-first-generation-of-digital-addicts
3,,"My son is a 7-year-old and addicted to Roblox. He can't seem to stop. Everyday he gets up, gets his computer, and plays for hours. What should I do?",yes,yes,,,https://www.quora.com/My-son-is-a-7-year-old-and-addicted-to-Roblox-He-cant-seem-to-stop-Everyday-he-gets-up-gets-his-computer-and-plays-for-hours-What-should-I-do
4,,How do I stop my child from playing Roblox?,yes,,,,https://www.quora.com/How-do-I-stop-my-child-from-playing-Roblox?no_redirect=1
5,2020,"How do I get my 5-year-old child to stop playing so much Roblox?
",yes,yes,,,https://www.quora.com/How-do-I-get-my-5-year-old-child-to-stop-playing-so-much-Roblox?no_redirect=1
6,,What should I do to get my sister out of a Roblox addiction? She’s 11 years old and spends at least 5 hours on Roblox a day.,yes,yes,,,https://www.quora.com/What-should-I-do-to-get-my-sister-out-of-a-Roblox-addiction-She-s-11-years-old-and-spends-at-least-5-hours-on-Roblox-a-day
7,,Should you let a five-year-old play Roblox all night long or restrict the usage?,yes,yes,,,https://www.quora.com/Should-you-let-a-five-year-old-play-Roblox-all-night-long-or-restrict-the-usage
8,,How do I make a 5-year-old stop being too competitive for his own good?,yes,,,,https://www.quora.com/How-do-I-make-a-5-year-old-stop-being-too-competitive-for-his-own-good
9,,"HI I have a 11 year old daughter who is addicted to playing roblox with her friends and changed when she started to do that, her attitude got way ruder than before and always closes her door and never comes out, what should I do?",yes,yes,,,https://www.quora.com/HI-I-have-a-11-year-old-daughter-who-is-addicted-to-playing-roblox-with-her-friends-and-changed-when-she-started-to-do-that-her-attitude-got-way-ruder-than-before-and-always-closes-her-door-and-never-comes-out-what
10,,"How do I stop my 9 year old brother from playing Roblox all day long? He never listens me or my parents if we try to take it from he gets angry and starts hitting us, how do I stop him from playing Roblox?",yes,yes,,,https://www.quora.com/How-do-I-stop-my-9-year-old-brother-from-playing-Roblox-all-day-long-He-never-listens-me-or-my-parents-if-we-try-to-take-it-from-he-gets-angry-and-starts-hitting-us-how-do-I-stop-him-from-playing-Roblox
11,,"How do I save my 10-yr old bro from Roblox? I'm 19 and we never fight. he plays it in the background in his online classes, and all day long. now he's ignoring schoolwork, gets upset when we mention it. I don't want to hurt him",yes,yes,,,https://www.quora.com/How-do-I-save-my-10-yr-old-bro-from-Roblox-Im-19-and-we-never-fight-he-plays-it-in-the-background-in-his-online-classes-and-all-day-long-now-hes-ignoring-schoolwork-gets-upset-when-we-mention-it-I-dont-want-to-hurt?no_redirect=1
12,,What are some ways to prevent your child from playing certain games on Roblox?,yes,,,,https://www.quora.com/unanswered/What-are-some-ways-to-prevent-your-child-from-playing-certain-games-on-Roblox
13,,"How do I stop my 11-year-old brother from playing Roblox simulators, tycoons, de a hood, making bad friends, and watching Tik Tok?
Very",yes,yes,,,https://www.quora.com/How-do-I-stop-my-11-year-old-brother-from-playing-Roblox-simulators-tycoons-de-a-hood-making-bad-friends-and-watching-Tik-Tok
14,,"Daughter 12 years has become very argumentive with us. Acts rude and shouts, and often disrespectful when trying to counsel or make her study. Otherwise is cheerful with friends. She is addicted to Roblox, neglecting studies- any parenting tips?",yes,yes,,,https://www.quora.com/Daughter-12-years-has-become-very-argumentive-with-us-Acts-rude-and-shouts-and-often-disrespectful-when-trying-to-counsel-or-make-her-study-Otherwise-is-cheerful-with-friends-She-is-addicted-to-Roblox-neglecting?no_redirect=1
15,,I caught my 14-year-old son on Roblox past his bedtime. I made him sleep on the sidewalk for a few nights before shipping him to Africa. Everyone is calling me crazy. Was I too harsh?,yes,yes,,,https://www.quora.com/I-caught-my-14-year-old-son-on-Roblox-past-his-bedtime-I-made-him-sleep-on-the-sidewalk-for-a-few-nights-before-shipping-him-to-Africa-Everyone-is-calling-me-crazy-Was-I-too-harsh
16,,"How do I help my son overcome his addiction to Roblox?
",yes,,,,https://www.quora.com/How-do-I-help-my-son-overcome-his-addiction-to-Robloxx
17,,My children are obsessed with an online game called Roblox. What should I do?,yes,yes,,,https://www.quora.com/My-children-are-obsessed-with-an-online-game-called-Roblox-What-should-I-do?no_redirect=1
18,,"How do I save my 10-yr old bro from Roblox? I'm 19 and we never fight. he plays it in the background in his online classes, and all day long. now he's ignoring schoolwork, gets upset when we mention it. I don't want to hurt him.",yes,yes,,,https://www.quora.com/How-do-I-save-my-10-yr-old-bro-from-Roblox-Im-19-and-we-never-fight-he-plays-it-in-the-background-in-his-online-classes-and-all-day-long-now-hes-ignoring-schoolwork-gets-upset-when-we-mention-it-I-dont-want-to-hurt?no_redirect=1
19,,I caught my 13-year-old son playing Roblox. I sent him to a boarding school and revoked his bed privileges. My family calls me insane. Am I a bad parent?,yes,yes,,,https://www.quora.com/I-caught-my-13-year-old-son-playing-Roblox-I-sent-him-to-a-boarding-school-and-revoked-his-bed-privileges-My-family-calls-me-insane-Am-I-a-bad-parent?no_redirect=1
20,,How can I end my addiction to Roblox?,yes,yes,,,https://www.quora.com/How-can-I-end-my-addiction-to-Roblox
21,,"Why am I so obsessed with Roblox, and how do I stop it?
",yes,yes,,,https://www.quora.com/unanswered/Why-am-I-so-obsessed-with-Roblox-and-how-do-I-stop-it
22,,"How can you end your addiction to Roblox when I just want to keep playing it?
",yes,yes,,,https://www.quora.com/How-can-you-end-your-addiction-to-Roblox-when-I-just-want-to-keep-playing-it
23,,How can you end your addiction to Roblox when I just want to keep playing it?,yes,,,,https://www.quora.com/How-can-you-end-your-addiction-to-Roblox-when-I-just-want-to-keep-playing-it
24,,"How can I stop being so addicted to online games, like Roblox?
",yes,yes,,,https://www.quora.com/unanswered/How-can-I-stop-being-so-addicted-to-online-games-like-Roblox
25,,I got addicted to Roblox. How can I stop getting addicted? The reason: playing an obby that doesn’t save when you rejoin.,yes,yes,,,https://www.quora.com/I-got-addicted-to-Roblox-How-can-I-stop-getting-addicted-The-reason-playing-an-obby-that-doesn-t-save-when-you-rejoin
26,,My five-year-old brother is addicted to Roblox. All he does is scream at my whole family that he wants to play it. How do I end his addiction?,yes,yes,,,https://www.quora.com/My-five-year-old-brother-is-addicted-to-Roblox-All-he-does-is-scream-at-my-whole-family-that-he-wants-to-play-it-How-do-I-end-his-addiction
27,,"I play too much Roblox and my final exams are near, what should I do to stop playing?",yes,,,,https://www.quora.com/I-play-too-much-Roblox-and-my-final-exams-are-near-what-should-I-do-to-stop-playing
28,,"Can you die from playing too much Roblox?
",yes,yes,,,https://www.quora.com/Can-you-die-from-playing-too-much-Roblox
29,,"I am addicted to ROBLOX. How do I stop?
",yes,yes,,,https://www.quora.com/I-am-addicted-to-ROBLOX-How-do-I-stop
30,,My sister is addicted to the game Roblox. She starts being rude. How do I end this addiction?,yes,yes,,,https://www.quora.com/How-can-I-end-my-addiction-to-Roblox
31,,"
My children are obsessed with an online game called Roblox. What should I do?",yes,,,,https://www.quora.com/My-children-are-obsessed-with-an-online-game-called-Roblox-What-should-I-do
32,,My 8-year-old son is addicted to Roblox. I took away the iPad and now he is upset and doesn't want to talk to me. What should I do?,yes,yes,,,https://www.quora.com/My-8-year-old-son-is-addicted-to-Roblox-I-took-away-the-iPad-and-now-he-is-upset-and-doesnt-want-to-talk-to-me-What-should-I-do
33,,Is it bad to be addicted to Roblox?,yes,yes,,,https://www.quora.com/Is-it-bad-to-be-addicted-to-Roblox
34,,I'm in middle school and I am addicted to Roblox. My grades are even going down. I try to not play it but I still I can't control it. What do I do to control it?,yes,yes,,,https://www.quora.com/Im-in-middle-school-and-I-am-addicted-to-Roblox-My-grades-are-even-going-down-I-try-to-not-play-it-but-I-still-I-cant-control-it-What-do-I-do-to-control-it
35,,"I play Roblox, but I think I am addicted because I keep joining my friends and stopping only when all my friends are offline. Is this an addiction?",yes,,,,https://www.quora.com/I-play-Roblox-but-I-think-I-am-addicted-because-I-keep-joining-my-friends-and-stopping-only-when-all-my-friends-are-offline-Is-this-an-addiction
36,,"
I am 10 and I got addicted to one video game. It is the game called Roblox. It makes me talk to my parents about it a lot and they stop me from playing video games. Is Roblox getting",yes,yes,,,https://www.quora.com/I-am-10-and-I-got-addicted-to-one-video-game-It-is-the-game-called-Roblox-It-makes-me-talk-to-my-parents-about-it-a-lot-and-they-stop-me-from-playing-video-games-Is-Roblox-getting-me-in-trouble
37,,How should I break my Roblox addiction? I'm 11 and I have been playing since 2019. Are there any tips?,yes,yes,,,https://www.quora.com/I-play-Roblox-but-I-think-I-am-addicted-because-I-keep-joining-my-friends-and-stopping-only-when-all-my-friends-are-offline-Is-this-an-addiction
38,,I am not able to focus on my school online classes I always get distracted with online games. What do I do? I try concenterating but I guess I am too addicted to roblox. How do I,yes,yes,,,https://www.quora.com/I-am-not-able-to-focus-on-my-school-online-classes-I-always-get-distracted-with-online-games-What-do-I-do-I-try-concenterating-but-I-guess-I-am-too-addicted-to-roblox-How-do-I-stop
39,,"
How should I stop my 13 year old from playing Roblox or the game Adopt me since she is obsessed and she doesn't study much. Her grades are going really low. She is also short",yes,,,,https://www.quora.com/How-should-I-stop-my-13-year-old-from-playing-Roblox-or-the-game-Adopt-me-since-she-is-obsessed-and-she-doesnt-study-much-Her-grades-are-going-really-low-She-is-also-short-tempered-and-would-raise-her-voice-What
40,,How do I get a Roblox addiction and be happy?,yes,yes,,,https://www.quora.com/How-do-I-get-a-Roblox-addiction-and-be-happy
