SN,,Subscriber,Youtuber,Views,Video Title,Abusive speech,Bad Message,Inappropriate Content,Sexual abuse,Dark pattern,gaming addition,Bots,,Link,games,About the parental control 
,,,,,,,,,,,,,,,,
1,1,11.8M ,"
KreekCraft","700,866 views  Jul 24, 2023","
ROBLOX ISN'T SAFE ANYMORE...",,,1,,,,,,https://www.youtube.com/watch?v=jA6GtYVZTPs,,
2,2,11.8M ,"
KreekCraft","
545,338 views  May 10, 2025","roblox will ban you for this
",,,,,,,,,https://www.youtube.com/watch?v=-ivdEPnvQFU,,
3,3,11.8M ,"
KreekCraft","
396K views  1 month ago","I'm Getting Bullied...
",,,,,,,,,https://www.youtube.com/watch?v=MnFFPgOjNt8,,
4,4,11.8M ,"
KreekCraft","625,600 views  Apr 12, 2025",roblox has a huge problem,,,,,,,,,https://www.youtube.com/watch?v=UG6V3ojC0vY,thread,"bad security control, anybody can   use anybody email."
5,5,11.8M ,"
KreekCraft","964,663 views  Jan 11, 2025",ROBLOX GAMES COST MONEY NOW???,,,,,1,,,,https://www.youtube.com/watch?v=CF9zszt0BqA,,
6,6,11.8M ,"
KreekCraft","
2,027,810 views  Jan 27, 2023","This Roblox Game Should Be Banned
",1,,1,,,,,,https://www.youtube.com/watch?v=PcgxGITL7fE,mipcity,
7,1,5.25M subscribers,Good Morning America,"
69,619 views  Sep 7, 2022  ",Parents warned about inappropriate content found in Roblox l GMA,1,,1,1,,,,,https://www.youtube.com/watch?v=xSkXmk5EkWs,,
8,1,83.5K subscribers,"4 News Now
","
102,898 views  Nov 5, 2021","This is how a predator targets 9-year-old Spokane boy on Roblox
",,,1,1,,,,,https://www.youtube.com/watch?v=levReirzSYM,,
9,1,481 subscribers,ArmaniBlox,"
21,148 views  Aug 25, 2024","I Caught Predators On Roblox
",,,1,1,,,,,https://www.youtube.com/watch?v=RZj2xg3mrLA,,
10,1,"

445K subscribers",Schlep,"
58,859 views","This Roblox Account Is ILLEGAL
",1 (bad user name) ,,1,,,,,,https://www.youtube.com/watch?v=jmVotnCVRZE,,
11,2,"

445K subscribers",Schlep,"1,631,693 views  Premiered Sep 8, 2024",Catching MORE Roblox Predators (ft. Ruben Sim),1,1,1,,,,,,https://www.youtube.com/watch?v=A6lpwXAngr8,,
12,3,"

445K subscribers",Schlep,"
4,810,692 views ",Roblox Predator Gets Arrested! (ft: JiDion & Ruben Sim),1,,1,1,,,,,https://www.youtube.com/watch?v=eLDfGhu7_P4,,
13,4,"

445K subscribers",Schlep,"
1,309,650 views  Premiered Mar 31, 2025","Roblox Predator Goes to JAIL! (ft: JiDion)
",,,,1,,,,,https://www.youtube.com/watch?v=Lems3agp42M,,
14,5,"

445K subscribers",Schlep,"1,462,987 views  Premiered Sep 28, 2024","

Chat Replay is disabled for this Premiere.
We Got A Roblox Predator Arrested",,1 - pradator,,1,,,,,https://www.youtube.com/watch?v=D0R559dMxc8,,
